City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,trstena,49.045,18.6351,266.39,71,98,2.06,SK,1701711774
269,villa rica,33.7321,-84.9191,290.24,51,20,2.24,US,1701711775
270,samarinda,-0.5018,117.1393,296.5,98,50,0.94,ID,1701711776
271,kosh-agach,49.9947,88.6628,254.42,85,38,0.89,RU,1701711777
272,masterton,-40.9496,175.6594,285.29,98,100,1.23,NZ,1701711777
273,cuito,-12.3831,16.9425,288.99,96,100,0.46,AO,1701711778
274,sungailiat,-1.8477,106.1192,299.52,83,100,1.24,ID,1701711779
275,rundu,-17.9137,19.7673,302.56,24,18,2.11,NA,1701711779
276,maughold,54.2987,-4.3183,278.72,95,100,11.31,IM,1701711780
277,merlo,-34.6605,-58.7322,293.4,55,84,4.98,AR,1701711781
278,sampit,-2.5389,112.9494,296.76,98,97,0.36,ID,1701711782
279,saint-felicien,45.0867,4.6278,277.75,97,100,3.24,FR,1701711782
280,flying fish cove,-10.4213,105.6744,298.39,88,75,3.6,AU,1701711793
281,yamada,39.4677,141.9491,277.22,82,14,2.73,JP,1701711794
282,itaituba,-4.2625,-55.9878,306.18,58,40,3.6,BR,1701711794
283,es castell,39.8799,4.2905,287.63,62,20,5.66,ES,1701711795
284,gillette,44.2906,-105.5019,273.7,86,100,6.69,US,1701711795
285,floresta,37.9874,14.9097,278.19,74,30,2.18,IT,1701711796
286,port douglas,-16.4846,145.4636,298.87,87,90,2.36,AU,1701711797
287,casper,42.8501,-106.3251,278.92,67,100,7.2,US,1701711798
288,zaozersk,69.4009,32.4413,263.53,94,100,1.8,RU,1701711798
289,taroa,12.43,-71.5763,301.23,77,55,10.88,CO,1701711799
290,acarau,-2.887,-40.1195,303.77,62,80,7.88,BR,1701711800
291,san antonio de pale,-1.4046,5.6326,299.99,80,83,2.68,GQ,1701711801
292,thunder bay,48.4064,-89.2598,273.18,74,100,2.57,CA,1701711802
293,winchester,51.0613,-1.3132,280.63,97,75,3.6,GB,1701711802
294,colonia,50.9384,6.96,274.45,84,100,4.63,DE,1701711610
295,howard springs,-12.497,131.047,298.46,96,100,0.93,AU,1701711804
296,ola,35.0323,-93.2232,284.14,50,2,3.82,US,1701711805
297,pagar alam,-4.021,103.2502,293.86,97,100,0.76,ID,1701711805
298,port glaud,-4.6641,55.4178,301.02,78,40,2.06,SC,1701711806
299,walvis bay,-22.9543,14.5075,294.68,60,0,4.12,NA,1701711807
300,chernyshevskiy,63.0156,112.4642,233.16,99,86,2.13,RU,1701711807
301,saldanha,-32.9978,17.9456,293.3,75,2,9.1,ZA,1701711808
302,atherton,37.4538,-122.2058,285.46,92,100,1.54,US,1701711809
303,nahuala,14.8432,-91.3179,291.06,65,40,6.17,GT,1701711809
304,georgetown,6.8137,-58.1624,302.14,74,75,4.12,GY,1701711810
305,pahrump,36.2083,-115.9839,284.23,45,100,1.34,US,1701711810
306,oamaru,-45.0998,170.9684,282.8,88,98,4.6,NZ,1701711811
307,lahat,-3.7833,103.5452,296.78,95,100,0.62,ID,1701711812
308,kruisfontein,-34.012,24.7433,291.48,81,14,4.52,ZA,1701711813
309,raja,15.2992,-61.3873,302.51,61,75,3.6,DM,1701711813
310,guiria,10.5879,-62.2999,301.28,73,3,4.51,VE,1701711814
311,veraval,20.9101,70.3653,298.48,50,6,6.31,IN,1701711814
312,basco,40.3278,-91.2001,276.43,60,13,2.53,US,1701711815
313,keflavik,63.9998,-22.5565,276.39,81,100,9.77,IS,1701711816
314,victoria,48.4283,-123.365,280.39,90,100,10.8,CA,1701711817
315,langgons,50.4918,8.6291,271.29,91,100,3.67,DE,1701711817
316,pandaria,22.22,81.4106,294.33,64,100,0.89,IN,1701711818
317,nanao,37.0521,136.9465,279.04,75,43,1.38,JP,1701711819
318,kapa'a,-33.929,18.4174,292.49,49,20,8.75,ZA,1701711322
319,tura,47.39,0.6889,283.32,81,100,7.72,FR,1701711820
320,mopti,14.4877,-4.1892,305.17,22,0,3.09,ML,1701711820
321,xindian,24.9674,121.5419,291.98,89,75,0.51,TW,1701711821
322,funadhoo,6.1542,73.289,301.78,76,20,4.76,MV,1701711822
323,karratha,-20.737,116.8479,298.47,80,1,4.36,AU,1701711822
324,formosa do rio preto,-11.0415,-45.1904,305.33,37,100,2.64,BR,1701711823
325,santa elena de uairen,4.5959,-61.111,304.51,32,8,2.93,VE,1701711823
326,ketchikan,55.3431,-131.6467,280.39,81,100,9.77,US,1701711824
327,takamaka,-21.3223,55.8001,295.66,71,44,3.21,FR,1701711835
328,dinkelsbuhl,49.0692,10.3223,268.82,89,100,2.95,DE,1701711835
329,brisas de zicatela,15.8367,-97.0429,302.44,70,100,3.09,MX,1701711836
330,hassi messaoud,31.6957,6.0604,289.97,55,40,2.06,DZ,1701711837
331,dillon,45.2141,-112.6346,279.28,61,40,9.26,US,1701711837
332,susuman,62.7797,148.1536,232.0,100,100,0.93,RU,1701711838
333,san sebastian de la gomera,28.091,-17.111,294.35,68,40,1.03,ES,1701711839
334,tanguieta,10.6301,1.2706,301.99,9,97,1.47,BJ,1701711839
335,mount isa,-20.729,139.4932,296.07,53,1,2.06,AU,1701711840
336,masuguru,-11.3808,38.4577,297.53,92,96,2.73,TZ,1701711841
337,launceston,-41.4341,147.1373,284.26,100,59,1.54,AU,1701711841
338,abalak,15.4637,6.2813,299.75,16,100,2.11,NE,1701711842
339,kill devil hills,36.0321,-75.6776,288.09,71,0,2.57,US,1701711843
340,vernon,49.0918,1.4887,282.59,89,100,8.36,FR,1701711844
341,soledade,-28.8272,-52.5109,288.9,95,100,4.96,BR,1701711844
342,praia,14.9163,-23.5095,301.47,57,20,9.26,CV,1701711845
343,ghadamis,30.1258,9.4901,288.13,48,16,3.71,LY,1701711846
344,port alfred,-33.5982,26.8915,291.51,80,36,1.34,ZA,1701711846
345,kavaratti,10.5672,72.6395,301.94,73,88,4.81,IN,1701711847
346,bethanie,-26.5014,17.1581,301.33,12,21,8.67,NA,1701711848
347,bratca,46.9285,22.6028,271.47,74,27,1.91,RO,1701711848
348,ambovombe,-25.1784,46.0877,295.38,78,0,10.2,MG,1701711849
349,concordia,45.7561,12.845,277.25,83,100,0.67,IT,1701711850
350,brokopondo,5.0568,-54.9767,307.18,37,45,1.37,SR,1701711851
351,palangkaraya,-2.2073,113.9164,296.14,97,62,0.72,ID,1701711851
352,machico,32.7229,-16.7659,294.68,91,75,8.23,PT,1701711852
353,viedma,-40.8084,-62.9947,299.68,10,0,5.44,AR,1701711853
354,barranca,-10.7541,-77.7609,295.04,70,66,4.95,PE,1701711854
355,clearwater,27.9659,-82.8001,297.27,76,40,5.14,US,1701711854
356,kargalinskaya,43.7438,46.4781,283.39,83,38,2.83,RU,1701711855
357,galle,51.4825,11.9705,272.12,77,0,5.66,DE,1701711856
358,ipueiras,-4.5427,-40.7168,309.19,29,91,4.91,BR,1701711856
359,simanggang,1.2376,111.4621,298.18,94,100,0.51,MY,1701711857
360,marica,-22.9059,-42.7926,302.86,82,66,3.97,BR,1701711857
361,cestos city,5.4522,-9.5817,300.73,78,71,3.52,LR,1701711858
362,iskateley,67.6762,53.1292,247.85,92,45,4.03,RU,1701711859
363,bel ombre,-4.6194,55.4113,300.78,78,40,2.06,SC,1701711859
364,alice springs,-23.6984,133.8813,292.9,64,0,2.06,AU,1701711860
365,mount gambier,-37.8247,140.782,284.59,98,98,1.19,AU,1701711861
